local_base	6d37ad1c112a3dd9b178be5966cb3b25fc786bb9	upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6
commit	kind	subject	historical_disposition	historical_notes	historical_validation	review_status	current_evidence	gaps
91eb6b94ab9e4764b7a2b3d2bd3bce41a99c2ab2	commit	server: Handle snapshot id pool being empty	merged-local	Guard optional translated IDs in destructor and weapon/hook snapshot paths; no 128-player主体重做。	game-client; C++ 2924/2924 including CharacterHandlesEmptySnapshotIdPool; quick gate blocked by unrelated src/test/net_test.cpp:45 format drift	verified-code-equivalent	server/entities/character.cpp:59-60 与 1278、1281 在取 id 池结果前检查 optional 是否有值。	未做快照 id 池耗尽的复现。
cc0fd64e555cd3d491ab20a640b2fe3d8dcb723e	merge	server: Handle snapshot id pool being empty (#12663)	covered-by-91eb6b94	PR merge wrapper.	See 91eb6b94	verified-wrapper	已验证父链与相对第一父提交的非合并提交（91eb6b94a）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a38ba7bd4de40425a9ea564dfbbc0fde609644a3	commit	Fix overflow on crazy tunings	adapted-local	Local CTuneParam rejects overflow and NaN as INT_MIN; initialization uses the same bounded float path.	C++ 2924/2924 including Tunings.OutOfRangeBecomesIntMin; quick gate blocked by unrelated src/test/net_test.cpp:45 format drift	adapted-worktree	gamecore.h:30-38 的 CTuneParam::operator= 在越界时取 int 最小值，并删除了 int 重载；test/gameworld_test.cpp:336 有 OutOfRangeBecomesIntMin 用例。	未做极端 tuning 的联机实测。
fd09340ef9fd05e683afe0774ed4e15cc86fce1f	merge	client: Fix using a new libpng version than built against (#12661)	not-applicable-reverted	PR merge wrapper for 96d35b3f, later reverted.	Replaced by a23094c69	verified-wrapper	已验证父链与相对第一父提交的非合并提交（96d35b3f9）；继承底层结论：not-applicable-reverted。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
9fc3cd63babe2d44c5d1847a378412190b91bc38	merge	Fix overflow on crazy tunings (#12664)	covered-by-a38ba7bd	PR merge wrapper.	See a38ba7bd	verified-wrapper	已验证父链与相对第一父提交的非合并提交（a38ba7bd4）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
d3810ba518927c669f1150ff362b69173c069dc2	commit	net: Fix setting tos on ipv6/ipv4	deferred-policy	QmClient retains existing LOWDELAY TOS; upstream changes DSCP EF policy and is not behavior-neutral. Requires explicit QoS policy decision before merge.	Source audit	adapted-partial-worktree	IPv6 TOS 的 API 修复已存在（system.cpp:1451-1454 用 IPPROTO_IPV6/IPV6_TCLASS，由本地提交 9d70982de 引入），但 DSCP 值仍是 0x10（IPTOS_LOWDELAY）而非官方的 0xB8（IPTOS_DSCP_EF）。	DSCP 标记值是网络 QoS 调优，需明确是否跟随官方；未做抓包验证。
b03cf5b053ddbcb080c7eb3f137c6c127945bc38	merge	Predict static laser doors without antiping (#12502)	covered-by-ac566d06f	Merge wrapper is covered by local commit 3f6d2b1e4.	Game-client build and 2901/2901 C++ tests pass; map smoke pending	verified-wrapper	已验证父链与相对第一父提交的非合并提交（9d8a20bd0,ac566d06f）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
0b108953f712ca26243763d7d3279c96b338e844	commit	macOS: Fix build with xcode	covered-equivalent	The iOS/platform adaptation already carries the same multi-module pkg-config hint cleanup; no standalone cherry-pick is needed.	CMake source audit; Xcode configure/build evidence recorded with the local iOS/platform batch	verified-code-equivalent	cmake/FindCrypto.cmake、FindCurl.cmake、FindFreetype.cmake、FindMiniupnpc.cmake 的 find_path HINTS 已不再使用 PC_*_INCLUDEDIR。	未在 macOS + Homebrew 环境重新配置。
5d449febc3b04d859386808cae8aef9ba2697476	commit	server: Fix team ranks of large teams being cut off	adapted-local	Rank messages stay below the 256-byte chat limit while retaining the true SQL team count in the summary; independent of the existing 128-player baseline.	game-client build; 2909/2909 C++ tests; quick gate 11/11 pass	verified-code-equivalent	protocol.h:112 有 MAX_CHAT_LENGTH=256，服务端 gamecontext.cpp:663、2292 与 scoreworker.cpp:149、1072 使用它；客户端 chat.h:106 的 MAX_LINE_LENGTH 本身就是 256，显示缓冲区不会截断。	未做 128 人队伍排名文本的界面实测。
c1a83f17e0be4e924b1280bab2c327a38dc48a82	commit	server: Fail saving teams instead of corrupting savegame	adapted-local	Rejects oversized serialized teams instead of writing truncated savegames; preserves QmClient Chinese messages and save paths.	Local commit 43e40188d; full C++ tests 2905/2905 pass	adapted-worktree	save.cpp:715-742 的 GetString 在超出缓冲区时返回 nullptr；ddracecommands.cpp:623-628 检查 nullptr 并提示“你的队伍太大，无法保存”。	未做 70 人以上队伍存档的实测。
f817a14fc638bf1dbaf21d49c25a97966d93b06b	commit	Support vanilla 0.6 clients again	covered-equivalent	Existing 128-player baseline covers legacy mapping and old-client paths; audit any residual upstream delta and run mixed 0.6/0.7/128 validation.	Source audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地 playermapping.h/.cpp 与上游 dae667a56（Add 128 player support）基线仅差两处本地修复，没有 CSixupCfg、ms_MaxNumSeeOthersVanilla、MaxNumSeeOthers 等该提交引入的结构。	需按官方序列迁移 vanilla 0.6 客户端支持及后续 playermapping 提交；其它文件的 hunk 尚未逐项核对。
aefb9b0f19826e90d7c7c11da62a3aca9d1ad656	commit	Replace version checks with function for player mapping	covered-equivalent	Current source has version-gated mapping and 128-client translation bypass; exact helper shape differs, so retain residual source audit and mixed-session validation.	Source audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地没有 GetClientVersionFlags/玩家映射版本函数链，playermapping 仍是 dae667a56 基线，SeeOthersId/ReserveTeamSlots 签名未带 ClientId。	需随 playermapping 中间链一并迁移；其它文件 hunk 未逐项核对。
60d9886cf719ef7627875d017d4283492ea11ea7	commit	Add pause logic for vanilla client	covered-equivalent	Existing FakeSnap/pause path is gated for pre-128 clients; verify behavior in a mixed legacy session rather than reimplementing the 128-player baseline.	Source audit; mixed-session runtime pending	confirmed-gap	本地 player.cpp:486-536 的 FakeSnap 没有该逻辑（没有 GetClientVersion()==VERSION_VANILLA 与 PAUSE_PAUSED 的判断，也不为 FakeId 发送 PlayerInfo/SpectatorInfo）。	需先批准再实施：为 vanilla 0.6 客户端补发暂停所需的假快照对象；本地 FakeSnap 结构与官方不同，需确认与玩家映射的交互。
1a1e165e7f7e470195c538e0c77c5c34d7e28e22	commit	Send snapshots early, disable playermapping if client supports all slots	covered-equivalent	Clients at VERSION_DDNET_128_PLAYERS already bypass legacy mapping; timeout/map lifecycle remains a runtime verification gap.	Source audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地 playermapping 为 dae667a56 基线，缺少该提交对 playermapping 提前发送 snapshot 与按客户端能力禁用映射的改动。	需随 playermapping 中间链迁移；server.cpp/gamecontext.cpp 对应 hunk 未逐项核对。
31a6120f484ec7510ac1f997d9f3d6bf0c271462	commit	Make sure to initialize playermap correctly at all times	covered-equivalent	Current timeout path explicitly reinitializes player maps before reinsertion; retain mixed-session/timeout reconnect validation.	Source audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地 playermapping 为 dae667a56 基线，缺少该提交的 playermap 初始化链路（InitPlayer/ForceInsertPlayer 签名仍为本地旧形式）。	需随 playermapping 中间链迁移；其它文件 hunk 未逐项核对。
752b09ca46e00183f17cf1313c9260aa34a106a7	commit	Improve mod compatibility for team gamemodes, added comments (closes #12659)	covered-equivalent	Existing legacy team projection and FakeSnap support the 128-player baseline; exact upstream follow-up differences require audit, not a new P4 implementation batch.	Source audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地 playermapping 为 dae667a56 基线，未包含该提交的 mod 兼容调整；其它文件 hunk 未逐项核对。	需随 playermapping 中间链迁移。
bc927c2a64e5e388477cc7cce245ff44533f1517	commit	Adjust team scoreboard for 128 players	covered-equivalent	Current Qm scoreboard row-plan iterates MAX_CLIENTS and uses a three-column layout above 64 players; retain 128-player UI smoke gap.	Source audit; 128-player UI runtime pending	adapted-partial-worktree	本地记分板已重写：scoreboard.cpp:1382 用 GameClient()->MaxTeamSize() 渲染 “Team %d (%d/%d)”，2058-2159 对 TEAM_GAME 按行计划做多列切分，行高不足时用 ScoreboardRowsVerticalScale 整体缩放；但红蓝队伍（TEAM_RED/TEAM_BLUE）在超过 64 人时没有像官方那样拆成两列，只是继续缩小行高与字号。	红蓝队伍 >64 人的可读性未处理，需要时按本地记分板布局单独设计；未做 128 人队伍记分板视觉验收。
ef3ac05f66125be21ed3d65398c085dc61244cdf	commit	Less conservative rate limit for SeeOthers by vote	exact-patch-equivalent		Current player mapping retains the one-second vote timestamp limiter; local b04698704 contains the adapted behavior.	confirmed-gap	推翻历史 exact-patch-equivalent：本地 playermapping 没有 m_LastSeeOthersVoteTick 与 SeeOthers 投票限速，DoSeeOthers 只设置 m_DoSeeOthersByVote 布尔值。	限速实现本身缺失，后续 ebbe3225b 的修复因此在本地无对应代码；需随 playermapping 中间链迁移。
fa457bd213cc02bb7dd62250ebbc87cc5add5396	commit	Rename misleading parameter name	not-applicable	Cosmetic parameter rename only; no behavior or compatibility impact for this sync batch.	Source audit	not-applicable	该提交只把构造参数 SnapFreeId 重命名为 RequestSnapId，行为不变；本地 entity.h:57 仍用原名，无需跟随重命名。	无。
2b36f918952f285df58691b40a25bbc4738a19c7	merge	net: Fix setting tos on ipv6/ipv4 (#12668)	covered-by-d3810ba51	Merge wrapper inherits the explicit DSCP/QoS policy deferral.	Policy decision pending	verified-wrapper	已验证父链与相对第一父提交的非合并提交（d3810ba51）；继承底层结论：adapted-partial-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
9dfb79945f30d883a94c49f1523d4b0d3e513c8e	merge	Support vanilla 0.6 clients again and several fixes (follow up 128p) (#12603)	covered-equivalent	Merge wrapper; core 128-player/old-client behavior is already present, with mixed-session runtime validation outstanding.	No separate cherry-pick	confirmed-gap	已验证父链与相对第一父提交的非合并提交（ef3ac05f6,752b09ca4,31a6120f4,1a1e165e7,60d9886cf,aefb9b0f1,f817a14fc）；继承底层结论：confirmed-gap。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
4e7c31935da747afbc7774eb22097a36b88a2ce9	merge	network: Send min and max team size in game info (#12607)	covered-by-c181dfbd1	Merge wrapper covered by the local GameInfoEx schema adaptation; mixed-client runtime validation remains pending.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（a9c6d2efd）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
2612f425f2a90667f3de75e7afdcb6dd45439712	commit	Send supported num teams through gameinfoex	adapted-local	Local commit c181dfbd1 replaces the legacy capability bit with m_NumDDRaceTeams and dynamic TeamSuper semantics; mixed-client runtime validation remains pending.	generate_protocol; game-client; 2916 C++ tests; quick gate blocked by unrelated src/test/net_test.cpp format drift	adapted-worktree	datasrc/network.py:434 有 m_NumDDRaceTeams 且已移除 SUPPORTS_128_TEAMS；gameclient.cpp:3504-3513 读取并按需回退，gamecontroller.cpp:665 发送 NUM_DDRACE_TEAMS。	未做 128 队伍服务器的联机实测。
f9dc80244434bc24fc21f86a709c1a5729e27a6f	merge	Rename misleading parameter name (#12665)	covered-by-fa457bd2	Merge wrapper; cosmetic rename is intentionally not merged.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（fa457bd21）；继承底层结论：not-applicable。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a3f21cb336db5f0dd0259f401db12cc2421e5674	merge	Adjust team scoreboard for 128 players (#12670)	covered-equivalent	Merge wrapper; QmClient's existing MAX_CLIENTS row-plan and three-column 128-player layout cover the core intent; runtime UI smoke remains.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（bc927c2a6）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
28baa427bad88b7dd0b04eca370ab8c9daed9a7c	merge	Bound peer work (#12635)	covered-equivalent	Unauthenticated work and vote-send cursor adaptations are already recorded on the underlying candidates.	Source and history audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（9526f5f6d,c4ba80c69,eb96fe096,8b5d3b7a8,4318df0fc,6c0126f99）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
79184e82653f34a7322f2a9c28029641479f08f3	commit	Fix invisible laser with antiping and `sv_old_laser 1`	covered-equivalent	Current source retains the old-laser game-info flag and prediction fix through local 5cf962b99.	Source and history audit	confirmed-gap	本地 datasrc/network.py:103-115 的 GameInfoFlags2 没有 OLD_LASER，gameclient.h/gameworld.h 也没有 m_OldLaser；prediction/entities/laser.cpp:39、46、56、67 与 qmclient/weapon_trajectory.cpp:280 仍直接用客户端配置 g_Config.m_SvOldLaser，服务端 gamecontroller.cpp:657-661 不发送该状态。	需先批准再实施：新增 GameInfoEx 标志位、客户端读取并写入 WorldConfig、预测激光改用该标志。见 2026-09-08-DDNet兼容性批次待确认方案.md 的 D 项。
39c675977432ba9794f63fe854a212ccbb7747f4	commit	add more font typer binds	adapted-local	Font typer bindings and boundary handling are present through the local editor batch and subsequent QmClient adaptation; the upstream hash itself is not an ancestor.	Existing local history; source audit	confirmed-gap	本地 font_typer 仍停在 7fa25fc16 的状态：font_typer.h:27 的 m_LineStart 是 int 而不是 std::optional<int>，font_typer.cpp 没有 Ctrl+S 退出文本模式、Ctrl+V 粘贴、KEY_HOME/KEY_END/KEY_DELETE 处理，左右方向键仍判断 KeyIsPressed(KEY_LCTRL)。	属编辑器功能增强，需在专门批次实施并做编辑器手动验收（本环境无法交互验证）；不涉及协议、预测或地图语义。
86955479e5f8f30ceb14a8cff92e144481f23ddc	commit	cmake: Don't link rust_engine_shared twice	covered-equivalent	Current CMake keeps rust_engine_shared in LIBS and removes duplicate client/server link entries.	Source audit	verified-code-equivalent	CMakeLists.txt 只在 LIBS（2916）与 TOOL_LIBS（4048）登记 rust_engine_shared，客户端/服务端链接块没有重复项，rust 测试还额外 REMOVE_ITEM。	未在 Linux 上确认链接器不再报重复库。
8c73e5d6054af77789d3ac176da3f77cf474ce43	commit	server: Fix 128 player servers not showing up in Vanilla 0.7	adapted-local	CacheServerInfoSixup caps legacy counts, recounts represented clients, clamps max fields, and keeps serialized count aligned; this is part of the existing 128-player/network batch.	game-client, 2889 C++ tests, quick gate pass	adapted-worktree	server.cpp:2760-2772 在 0.7 服务器信息里把客户端数限制到 LEGACY_MAX_CLIENTS，并重新统计玩家数。	未用 Teeworlds 0.7 客户端实测服务器列表显示。
c5ad692163f17d4bf05b54e83c40ffc0e5e59c2a	commit	Dismiss MOTD by clicking outside of it, X for mod alerts	adapted-local	Local commit 311ab3555 adapts the mutable touch-state contract, MOTD outside-touch dismissal and important-alert touch dismissal while preserving existing keyboard text.	game-client; 2919/2919 C++ tests; Rust tests; default gate only unrelated net_test.cpp format failure	adapted-worktree	component.h:303 的 OnTouchState 已改为可变引用；motd.cpp:171-203 实现触摸关闭，important_alert.cpp:216-250 与头文件 25-26 行实现弹窗触摸关闭。	未在触屏设备上验证关闭手势。
a9ea04925e3d3625c4167b67750d0a138a89a9f6	commit	client: Fix client freeze on 'reload'	covered-by-311ab3555	Dummy connections now process SV_READYTOENTER and call EnterGame after reload; the local adaptation landed together with the iOS touch-state commit.	Source audit; included in local commit 311ab3555	verified-code-equivalent	gameclient.cpp:2672-2676 在 Dummy 连接收到 SV_READYTOENTER 时调用 EnterGame。	未做 reload 后分身的实机验证。
d63dd71a9c16c4e15b2485e5616909ad2d9283fc	merge	cmake: Don't link rust_engine_shared twice (#12677)	covered-by-86955479e	Merge wrapper; duplicate link entries already removed in current CMake.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（86955479e）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
f1a81aea33b16487029b7302d38ebfb8df51de64	merge	Feature: Add more editor font typer binds and other improvements (#12648)	covered-by-39c675977	Merge wrapper; font typer binds are already in local history.	No separate cherry-pick	confirmed-gap	已验证父链与相对第一父提交的非合并提交（39c675977）；继承底层结论：confirmed-gap。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a8d5e0c7d173e0247c67ee8cd4fd7b1a4816e008	merge	Send supported num teams through gameinfoex (#12674)	covered-by-c181dfbd1	Merge wrapper covered by the local GameInfoEx schema adaptation; mixed-client runtime validation remains pending.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（79184e826,2612f425f）；继承底层结论：adapted-worktree,confirmed-gap。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
c019af14b64ba53c8ede670bd8196de050f532ea	commit	Split long server cap flags line	not-applicable	Formatting-only change; no functional or compatibility impact.	Source audit	not-applicable	该提交只是把 SendCapabilities 的 flags 表达式折行；本地 server.cpp:1397 已把 flags 提为变量并叠加 KCP 标志，结构不同但语义更清晰。	无。
5f65c7801553dec4ef869be4591f6f9142f86234	merge	console: Fix validating quoted victim arguments (#12625)	covered-by-821d5ae4	Merge wrapper; local quoted-victim validation adaptation is already implemented.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（821d5ae4b）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
5ca808242633e0c936349ec684dceaf58908d5e4	commit	Mark failing `dbg_assert` as `[[unlikely]]`	adapted-local	Applied upstream C++20 branch hint to both assertion macros without changing assertion behavior.	game-client; C++ 2924/2924; quick gate blocked by unrelated src/test/net_test.cpp:45 format drift	verified-code-equivalent	dbg.h:30 与 47 行的 dbg_assert/dbg_assert_failed 已带 [[unlikely]]。	无额外运行时缺口。
9a599f2503db56e67c02ab7f8b2146e4509d5bef	merge	Mark failing `dbg_assert` as `[[unlikely]]` (#12683)	covered-by-5ca808242	Merge wrapper; assertion branch already carries [[unlikely]].	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（5ca808242）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
7131ad28ba08a9b7ad50fc2bc43dcac4124ca6f8	commit	Allow rejoining from any client	covered-equivalent	Current CNetServer accepts the rejoin control path before slot-specific dispatch; local ec4708fbd contains the adaptation.	Source and history audit; mixed-session runtime pending	confirmed-gap	推翻历史 covered-equivalent：本地仍为旧结构，network.h 的 NETFUNC_CLIENTREJOIN 仍是 (ClientId, pUser)，network_server.cpp 在 OnConnCtrlMsg 直接调用回调，CServer::CClient 没有 m_Rejoining 字段，server.cpp 的 ClientRejoinCallback 也没有 Sixup/VanillaAuth 分支。	需按官方重构重连分发（含 Sixup/VanillaAuth 参数、m_Rejoining 状态机与 Reset 清理），并做新旧客户端混合会话验证。
b67775e6bf2cf244ff4089da3afb6f1c5be3e5c5	merge	Dismiss MOTD by clicking outside of it, tap mod alert to dismiss (#12613)	covered-by-311ab3555	Merge wrapper covered by the local touch-contract adaptation.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（c5ad69216）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a01b524762a4eb4892aed5ed200a9637d73ae69d	merge	server: Fix team ranks of large teams being cut off & Fail saving teams instead of corrupting savegame (#12657)	adapted-local	Merge wrapper; rank messages and save integrity were adapted in separate focused local commits.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（c1a83f17e,5d449febc）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
14d7e17059a53c87f3107055ee3d96f194200288	merge	Split long server cap flags line (#12680)	covered-by-c019af14b	Merge wrapper; formatting-only candidate is intentionally not merged.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（c019af14b）；继承底层结论：not-applicable。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
f586be3e0d8f273ba448f183c0577a87d379f1b2	commit	server: Disallow actions with ids for authed people with old client	covered-equivalent	Current console checks client-id command capability against translated mappings; local afc02694b retains the upstream restriction.	Source and history audit	confirmed-gap	本地仍是单 victim 设计：console.h:86 的 GetVictim() 无 Slot 参数，ICommandInfo 没有 TakesClientId，console.rs:323 与 rust-bridge/cpp/console.cpp:127 也是旧签名；server.h 没有 ClientUsesRealClientIds，set_team 仍注册为 i[id]、tele 为 ?i[id] ?i[id]。	需要控制台多 victim 重构（IResult 按 Slot 取值、命令参数含 v 时判定 TakesClientId）、Rust FFI 同步与 server 侧拒绝逻辑，见兼容性待确认方案 F。
936f2b7c186224673dcc63e51896f798739849b8	commit	client: Add iOS support	adapted-local	P3A/P3B adapt SDL/GLES bundle, platform entry, storage, lifecycle and EPIPE socket recreation to current owners.	2889 C++ tests and simulator compile/link/bundle pass; P3C simulator/device smoke pending.	adapted-worktree	本地已有 scripts/ios/cmake_ios.sh、Info.plist.in、Assets.xcassets 与 iOS 后端目录 src/engine/client/backend/metal，并有 src/test/ios_runtime_test.cpp，是在官方基础上继续扩展。	未做 iOS 实机构建与运行验证。
eeaf7615884de31f17751ccf24f17551e05daefa	commit	ci: smoke test of ios simulator builds	deferred-policy	Plan defers upstream workflow until local simulator build succeeds.	Not run	not-applicable-local-ci	该提交在 .github/workflows/build.yml 增加 iOS 模拟器 smoke test；本地 CI 工作流是官方子集，build.yml 没有 iOS/模拟器相关步骤。	本地 CI 无 iOS 任务，无需移植；若恢复 iOS CI 再核对。
51a2ea409a319142c1902b1e26e69c2ec874d9f1	merge	client: Finish adding iOS support by Pioooooo (#12669)	covered-by-936f2b7c1	PR merge wrapper; local runtime adaptation is recorded at 936f2b7c1, while CI remains deferred.	See 936f2b7c1; P3C simulator/device smoke and iOS CI pending.	verified-wrapper	已验证父链与相对第一父提交的非合并提交（eeaf76158,936f2b7c1）；继承底层结论：adapted-worktree,not-applicable-local-ci。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
2805226e390125d138c697362cc3d4e423be2d8a	commit	Align the forced viewport to the top left with OpenGL	covered-equivalent	Current OpenGL scissor and readback paths include the forced-viewport origin; runtime iOS viewport smoke remains separate.	Source and history audit	adapted-worktree	backend_opengl.h:56-57 有 m_ViewportX/m_ViewportY，backend_opengl.cpp:43-44 用 graphics_viewport::OpenGLViewportY(DrawableHeight, Y, Height) 换算顶部对齐坐标。	未做强制视口比例下的输入坐标实测。
391b70c393c56881310c4a32c63d882868740363	commit	Map touch positions to the viewport	covered-equivalent	Current input maps normalized touch position and deltas through drawable-to-screen scaling; runtime iOS touch smoke remains separate.	Source and history audit	verified-code-equivalent	input.cpp:640 有 TouchPositionToViewport，634 与 668 行用于触摸按下与移动，input.h:116 声明。	未在触屏设备上验证。
0704628892dfba5bc3fb4de5ceb25bf4bb08e022	commit	Upgrade CI actions that use Node.js 20	deferred-policy	Workflow-only change; postpone until iOS and Web runtime batches stabilize.	CI batch pending	verified-code-equivalent	本地 CI 动作版本已高于该提交：workflows 用 actions/checkout@v6、Swatinem/rust-cache 固定到 v2.9.1 的提交哈希、codeql-action@v4，不存在仍依赖 Node.js 20 的旧版本。	本地 CI 工作流是官方子集，未逐文件比对。
250a3905490205c05bf9182ba6b9734e672603b6	merge	Fix touch and mouse position when the viewport is clamped to 5:4 (#12591)	adapted-local	Merge wrapper is not cherry-picked; its 5:4 touch/viewport behavior is adapted in the current worktree for QmClient drawable, OpenGL, Vulkan and input contracts.	Review, regression tests and independent local commit pending; iOS simulator/device smoke remains separate	verified-wrapper	已验证父链与相对第一父提交的非合并提交（391b70c39,2805226e3）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
26d7ab270a7b99c4a126bb913c08035996d1b72f	merge	Upgrade CI actions that use Node.js 20 (#12699)	deferred-policy	Merge wrapper inherits the controlled CI upgrade policy.	CI batch pending	verified-wrapper	已验证父链与相对第一父提交的非合并提交（070462889）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
8a526d030b2458b449a8292f3d9437eefe366200	merge	client: Fix client freeze on 'reload' (#12678)	covered-by-311ab3555	Merge wrapper; dummy ready-to-enter handling is included in the local iOS touch-state adaptation.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（a9ea04925）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
76444d664718e56965039b3a7eb0f200bd8c842e	commit	"Revert ""client: Fix using a new libpng version than built against"""	covered-upstream-sequence	Upstream explicitly withdrew 96d35b3f.	Replacement a23094c69 merged	verified-code-equivalent	image_loader.cpp:178、388 已改回 PNG_LIBPNG_VER_STRING，与官方撤回一致。	无额外运行时缺口。
a23094c6933efc31a40cbaf2e73b41eec5c69d82	commit	cmake: Find libpng header and library in the same installation	covered-equivalent	The local iOS/platform CMake adaptation keeps PNG header/library discovery under one prefix; the upstream hash itself is not an ancestor.	Xcode prefix configure and game-client build evidence	verified-code-equivalent	cmake/FindPNG.cmake:1-9 用 pkg_check_modules(PC_PNG) 并在无 PNG_ROOT 时设置 PNG_ROOT。	未在系统 libpng 环境下重新配置。
c9f6343612ac2fc7a4cc8cb33233c19fc8bb46c8	merge	Speed up integration test by disabling --track-origins in valgrind (#12631)	covered-by-25dc1ab1	Merge wrapper; local integration-test flag change is already implemented.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（25dc1ab14）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
f8eb4ceabfa8d43ae011e23f8df7a6ecc9078ab8	merge	server: Fix 128 player servers not showing up in Vanilla 0.7 (#12599)	covered-by-8c73e5d60	Merge wrapper; local adaptation is recorded at 8c73e5d60.	game-client, 2888 C++ tests, quick gate pass	verified-wrapper	已验证父链与相对第一父提交的非合并提交（8c73e5d60,48b120225,a91bf68a3）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
bccfbb9a6922dbf4c17765dda562fd639d1a1a07	merge	server: Disallow actions with ids for authed people with old client (#12656)	covered-by-f586be3e0	Merge wrapper; current source already contains the underlying compatibility guard.	No separate cherry-pick	confirmed-gap	已验证父链与相对第一父提交的非合并提交（f586be3e0）；继承底层结论：confirmed-gap。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
e63f902790ef65c28ffc6f0db7498d726494b236	merge	macOS: Fix build with xcode (#12662)	covered-by-0b108953	PR merge wrapper.	See 0b108953	verified-wrapper	已验证父链与相对第一父提交的非合并提交（0b108953f）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a39ed183491fd517ea4aa27e912a91511fcaa57c	commit	Update the value of `SERVER_MAX_CLIENTS` in the settings export script	adapted-local	Applied to upstream and QmClient derived export scripts to avoid divergent output.	Python compile; direct parse_settings boundary returns 128 for both scripts; full export blocked by existing lambda parser limitation.	verified-code-equivalent	scripts/export_settings_commands_table.py:74 已把 SERVER_MAX_CLIENTS 替换为 128。	未重新生成设置命令表。
e2e06949ea355fd01d27dd86fdda32802d447732	commit	Don't disable Rust tests in RelWithDebInfo builds	adapted-local	Rust tests are enabled for RelWithDebInfo and MinSizeRel while preserving the iOS exclusion and QmClient test target layout.	MinSizeRel Rust target build; full macOS build/tests pending	verified-code-equivalent	CMakeLists.txt:4437 的 Rust 测试条件已包含 RelWithDebInfo 与 MinSizeRel。	未在 MSVC RelWithDebInfo 下实际跑 Rust 测试。
